slim_nwp_feature,,,,,,,,,
site,validationScore,nwpScore,bw_validationScore,bw_nwpScore,sw_validationScore,sw_nwpScore,full,bw,sw
site0/,1.57790653137761,1.72026854969119,2.50457667991494,3.06842619824992,1.15849141148998,1.00039373037623,8.28%,18.38%,-15.80%
site1/,1.35498034036758,1.4464893395578,1.63120819044163,2.50031173669808,1.26399224535301,0.943809796643123,6.33%,34.76%,-33.92%
site2/,1.05906067014061,1.14905936084326,1.42713010909743,1.33577530975038,1.01476042617311,1.12860900767191,7.83%,-6.84%,10.09%
site3/,1.46052431380625,1.47405850055501,2.37986559379505,2.64584682991811,1.15153867907011,1.03405138468021,0.92%,10.05%,-11.36%
site4/,1.12415219329496,1.12953786109534,1.48966220027777,1.64984772008387,1.04040463832256,1.00072953316131,0.48%,9.71%,-3.96%
site5/,1.37169210519778,1.62481013435948,1.87710401303896,2.64028359638313,1.13546056628681,1.0381558126508,15.58%,28.91%,-9.37%
,,,,,,,,,
,,,,,,,,,
site0/,1.50453524853393,1.70849476803589,1.80554588347885,3.06842619824992,1.40285432564574,0.995733427811541,11.94%,41.16%,-40.89%
site1/,1.37737439578439,1.43945254529012,1.73656896573772,2.49980763648964,1.25688443813141,0.941650580519167,4.31%,30.53%,-33.48%
site2/,1.07780824405921,1.14609163436226,1.48781261071014,1.34503192523377,1.02816944100742,1.1243999788437,5.96%,-10.62%,8.56%
site3/,1.45262103662201,1.46738914590944,1.74056794278325,2.64410847787903,1.37960389793633,1.03202796259782,1.01%,34.17%,-33.68%
site4/,1.13479863454934,1.12372941215759,1.3241138247891,1.64984772008387,1.09599996872811,0.995717654565553,-0.99%,19.74%,-10.07%
site5/,1.35250735431365,1.61330230920823,1.70646242489202,2.64028359638313,1.20319610883011,1.03110682331647,16.17%,35.37%,-16.69%
site6/,1.14770280816955,1.10085874762547,1.31163827882757,1.41259060965718,1.12282613459939,1.04981956293967,-4.26%,7.15%,-6.95%
site7/,1.35425321334076,1.60778337309528,1.63639285682829,2.75034676879713,1.2452385960794,0.955315340067217,15.77%,40.50%,-30.35%
site8/,1.4509130539101,1.55014770788456,1.68729844479091,2.80836267276761,1.38440268775847,1.00443998761534,6.40%,39.92%,-37.83%
pre1window24datalen5904eph50drop40.0minWind0maxWind100,,,,,,,,,
,slim_obs_slim_nwp_feature,,,,,,,,
site,validationScore,nwpScore,bw_validationScore,bw_nwpScore,sw_validationScore,sw_nwpScore,,,
site0/,1.44311458169202,1.72026854969119,2.09884150129182,3.06842619824992,1.17387566211666,1.00039373037623,,,
site1/,1.32154231322551,1.4464893395578,1.66447788054029,2.50031173669808,1.20442859642546,0.943809796643123,,,
site2/,1.03673039629799,1.14905936084326,1.44847376882915,1.33577530975038,0.985940579887983,1.12860900767191,,,
site3/,1.35465059976909,1.47405850055501,1.89986505154319,2.64584682991811,1.19559788763805,1.03405138468021,,,
site4/,1.1110319245816,1.12953786109534,1.49608006546608,1.64984772008387,1.02172170851377,1.00072953316131,,,
